"STATE","HUC12"
"New Hampshire","010700010701"
"New Hampshire","010700010702"
"New Hampshire","010700010801"
"New Hampshire","010700010802"
"New Hampshire","010700010803"
"New Hampshire","010700010804"
"New Hampshire","010700020101"
"New Hampshire","010700020102"
"New Hampshire","010700020103"
"New Hampshire","010700020104"
"New Hampshire","010700020105"
"New Hampshire","010700020106"
"New Hampshire","010700020107"
"New Hampshire","010700020108"
"New Hampshire","010700020109"
"New Hampshire","010700020110"
"New Hampshire","010700020201"
"New Hampshire","010700020202"
"New Hampshire","010700030101"
"New Hampshire","010700030102"
"New Hampshire","010700030103"
"New Hampshire","010700030104"
"New Hampshire","010700030105"
"New Hampshire","010700030106"
"New Hampshire","010700030107"
"New Hampshire","010700030108"
"New Hampshire","010700030201"
"New Hampshire","010700030202"
"New Hampshire","010700030203"
"New Hampshire","010700030204"
"New Hampshire","010700030301"
"New Hampshire","010700030302"
"New Hampshire","010700030303"
"New Hampshire","010700030401"
"New Hampshire","010700030402"
"New Hampshire","010700030403"
"New Hampshire","010700030404"
"New Hampshire","010700030501"
"New Hampshire","010700030502"
"New Hampshire","010700030503"
"New Hampshire","010700030504"
"New Hampshire","010700030601"
"New Hampshire","010700030602"
"New Hampshire","010700030603"
"Massachusetts","010700040101"
"Massachusetts","010700040102"
"Massachusetts","010700040103"
"Massachusetts","010700040201"
"Massachusetts","010700040202"
"Massachusetts","010700040203"
"Massachusetts","010700040204"
